Timestamp,HeartRate,SpO2
56,0,0
103,0,0
150,0,0
197,0,0
243,0,0
290,0,0
337,0,0
384,0,0
431,0,0
478,0,0
524,0,0
571,0,0
618,0,0
665,0,0
711,0,0
758,0,0
805,0,0
851,0,0
899,0,0
946,0,0
992,0,0
1039,0,0
1086,0,0
1133,0,0
1179,0,0
1226,0,0
1273,0,0
1319,0,0
1367,0,0
1414,0,0
1461,0,0
1507,0,0
1554,0,0
1601,0,0
1647,0,0
1694,0,0
1741,0,0
1787,0,0
1835,0,0
1882,0,0
1929,0,0
1975,0,0
2022,0,0
2069,0,0
2115,0,0
2162,0,0
2209,0,0
2255,0,0
2302,0,0
2350,0,0
2397,0,0
2443,0,0
2490,0,0
2537,0,0
2583,0,0
2630,0,0
2677,0,0
2723,0,0
2770,0,0
2818,0,0
2865,0,0
2911,0,0
2958,0,0
3005,0,0
3051,0,0
3098,0,0
3145,0,0
3192,0,0
3238,0,0
3286,0,0
3333,0,0
3379,0,0
3426,0,0
3473,0,0
3519,0,0
3566,0,0
3613,0,0
3660,0,0
3706,0,0
3753,0,0
3801,0,0
3847,0,0
3894,0,0
3941,0,0
3987,0,0
4046,24,0
4094,24,0
4143,24,0
4191,24,0
4238,24,0
4286,24,0
4334,24,0
4393,51,0
4441,51,0
4489,51,0
4537,51,0
4584,51,0
4632,51,0
4680,51,0
4740,88,0
4788,88,0
4835,88,0
4883,88,0
4931,88,0
4978,88,0
5026,88,0
5074,88,0
5123,88,0
5182,112,0
5231,112,0
5280,112,0
5329,112,0
5378,112,0
5427,112,0
5476,112,0
5525,112,0
5573,112,0
5622,112,0
5671,112,0
5721,112,0
5769,112,0
5828,98,0
5876,98,0
5924,98,0
5971,98,0
6020,98,0
6068,98,0
6130,144,120
6180,144,120
6232,144,120
6283,144,120
6334,144,120
6385,144,120
6435,144,120
6498,154,120
6549,154,120
6600,154,120
6651,154,120
6702,154,120
6753,154,120
6815,174,120
6866,174,120
6918,174,120
6968,174,120
7019,174,120
7070,174,120
7132,182,95
7182,182,95
7231,182,95
7281,182,95
7331,182,95
7382,182,95
7431,182,95
7492,172,95
7542,172,95
7592,172,95
7642,172,95
7692,172,95
7742,172,95
7792,172,95
7854,166,95
7903,166,95
7953,166,95
8003,166,95
8053,166,95
8102,166,95
8153,166,95
8203,166,95
8264,154,93
8314,154,93
8364,154,93
8414,154,93
8464,154,93
8525,193,93
8574,193,93
8625,193,93
8675,193,93
8725,193,93
8786,214,93
8836,214,93
8886,214,93
8936,214,93
8986,214,93
9048,211,93
9097,211,93
9147,211,93
9197,211,93
9247,211,93
9296,211,93
9358,209,93
9408,209,93
9458,209,93
9507,209,93
9558,209,93
9608,209,93
9658,209,93
9707,209,93
9768,166,93
9819,166,93
9869,166,93
9919,166,93
9980,218,95
10030,218,95
10080,218,95
10130,218,95
10180,218,95
10229,218,95
10279,218,95
10330,218,95
10391,170,95
10440,170,95
10490,170,95
10541,170,95
10591,170,95
10640,170,95
10701,183,95
10752,183,95
10802,183,95
10852,183,95
10901,183,95
10951,183,95
11013,188,95
11063,188,95
11113,188,95
11162,188,95
11212,188,95
11262,188,95
11324,191,95
11373,191,95
11423,191,95
11473,191,95
11524,191,95
11573,191,95
11623,191,95
11673,191,95
11723,191,95
11772,191,95
11823,191,95
11873,191,95
11923,191,95
11984,115,95
12034,115,95
12084,115,95
12134,115,95
12184,115,95
12246,164,95
12299,164,95
12345,164,95
12395,164,95
12445,164,95
12507,198,95
12556,198,95
12606,198,95
12656,198,95
12706,198,95
12755,198,95
12806,198,95
12856,198,95
12906,198,95
12955,198,95
13017,140,95
13067,140,95
13117,140,95
13166,140,95
13216,140,95
13266,140,95
13328,168,95
13378,168,95
13427,168,95
13477,168,95
13528,168,95
13578,168,95
13627,168,95
13677,168,95
13739,153,95
13789,153,95
13839,153,95
13888,153,95
13938,153,95
13988,153,95
14039,153,95
14088,153,95
14138,153,95
14188,153,95
14238,153,95
14287,153,95
14338,153,95
14388,153,95
14438,153,95
14487,153,95
14537,153,95
14587,153,95
14638,153,95
14697,81,95
14746,81,95
14795,81,95
14844,81,95
14893,81,95
14942,81,95
14991,81,95
15040,81,95
15088,81,95
15137,81,95
15186,81,95
